"level","from","to","No. of climate zones","Climate zones"
"Class","betaproteobacteria","planctomycetia",2,"Am/BWh"
"Class","betaproteobacteria","thermoleophilia",2,"Am/Cfb"
"Class","betaproteobacteria","leptospirae",1,"Aw"
"Class","betaproteobacteria","chloroplast",1,"BSh"
"Class","betaproteobacteria","spartobacteria",2,"BWh/Csa"
"Class","betaproteobacteria","phycisphaerae",1,"BWk"
"Class","betaproteobacteria","gammaproteobacteria",1,"Csa"
"Class","betaproteobacteria","opitutae",1,"Csa"
"Class","betaproteobacteria","sphingobacteriia",1,"Csa"
"Class","betaproteobacteria","methylacidiphilae",1,"Csb"
"Class","betaproteobacteria","chthonomonadetes",1,"Cwb"
"Class","betaproteobacteria","pla4",1,"Cwb"
"Class","betaproteobacteria","tm1",2,"Dfb/Dwb"
"Class","betaproteobacteria","solibacteres",1,"Dwb"
"Class","betaproteobacteria","zetaproteobacteria",1,"Dwb"
"Class","betaproteobacteria","betaproteobacteria",1,"Dwc"
"Class","betaproteobacteria","fibrobacteria",1,"Dwc"
"Class","betaproteobacteria","sm2f11",1,"Dwc"
"Class","betaproteobacteria","chloroflexi",1,"EF"
"Class","c6","saprospirae",1,"Af"
"Class","c6","ellin6529",1,"Am"
"Class","c6","cytophagia",1,"Aw"
"Class","c6","pla4",2,"BSh/Cfa"
"Class","c6","clostridia",2,"BSh/Cwb"
"Class","c6","c6",1,"Cfa"
"Class","c6","gammaproteobacteria",1,"Cfb"
"Class","c6","om190",1,"Cfb"
"Class","c6","tk10",2,"Cfb/Cwb"
"Class","c6","methylacidiphilae",1,"Csb"
"Class","c6","opitutae",1,"Cwb"
"Class","c6","phycisphaerae",1,"Cwb"
"Class","c6","solibacteres",1,"Cwb"
"Class","c6","leptospirae",2,"Dfa/EF"
"Class","c6","elusimicrobia",2,"Dfb/Dwc"
"Class","c6","verrucomicrobiae",1,"Dfc"
"Class","c6","thermoleophilia",1,"Dwb"
"Class","c6","vadinha49",1,"Dwc"
"Class","c6","planctomycetia",1,"ET"
"Class","c6","sva0725",1,"ET"
"Class","chloracidobacteria","sphingobacteriia",1,"Am"
"Class","chloracidobacteria","clostridia",2,"Am/BWk"
"Class","chloracidobacteria","leptospirae",1,"Aw"
"Class","chloracidobacteria","om190",1,"BSh"
"Class","chloracidobacteria","vadinha49",2,"BSh/Cfa"
"Class","chloracidobacteria","pla4",2,"BSh/Csb"
"Class","chloracidobacteria","methylacidiphilae",2,"BSk/Dfc"
"Class","chloracidobacteria","elusimicrobia",1,"BWk"
"Class","chloracidobacteria","planctomycetia",1,"Cfb"
"Class","chloracidobacteria","chthonomonadetes",1,"Csb"
"Class","chloracidobacteria","fibrobacteria",2,"Csb/Dwc"
"Class","chloracidobacteria","chloroplast",1,"Cwb"
"Class","chloracidobacteria","fimbriimonadia",1,"Dfa"
"Class","chloracidobacteria","flavobacteriia",1,"Dwb"
"Class","chloracidobacteria","sm2f11",1,"Dwb"
"Class","chloracidobacteria","tm1",1,"Dwb"
"Class","chloracidobacteria","zetaproteobacteria",1,"Dwb"
"Class","chloracidobacteria","nitrospira",1,"Dwc"
"Class","chloracidobacteria","saprospirae",1,"Dwc"
"Class","chloracidobacteria","spartobacteria",1,"Dwc"
"Class","chloracidobacteria","verrucomicrobiae",1,"EF"
"Class","chloroflexi","om190",1,"Af"
