"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1393,1,0.325543,6e-06,0.99687
1394,1,0.325777,6e-06,0.996876
1395,1,0.326011,6e-06,0.996882
1396,2,0.326244,1.2e-05,0.996894
1397,1,0.326478,6e-06,0.9969
1399,1,0.326946,6e-06,0.996906
1401,2,0.327413,1.2e-05,0.996918
1403,2,0.32788,1.2e-05,0.99693
1404,1,0.328114,6e-06,0.996936
1405,1,0.328348,6e-06,0.996942
1408,2,0.329049,1.2e-05,0.996954
1410,1,0.329516,6e-06,0.99696
1415,1,0.330685,6e-06,0.996966
1416,2,0.330918,1.2e-05,0.996978
1417,2,0.331152,1.2e-05,0.99699
1421,1,0.332087,6e-06,0.996996
1422,2,0.332321,1.2e-05,0.997008
1423,2,0.332554,1.2e-05,0.99702
1424,1,0.332788,6e-06,0.997026
1425,1,0.333022,6e-06,0.997032
1426,2,0.333255,1.2e-05,0.997044
1427,1,0.333489,6e-06,0.99705
1429,2,0.333957,1.2e-05,0.997062
1433,1,0.334891,6e-06,0.997068
1435,3,0.335359,1.8e-05,0.997086
1436,1,0.335592,6e-06,0.997092
1438,2,0.33606,1.2e-05,0.997104
1439,1,0.336294,6e-06,0.99711
1440,3,0.336527,1.8e-05,0.997128
1441,2,0.336761,1.2e-05,0.99714
1442,1,0.336995,6e-06,0.997146
1443,2,0.337228,1.2e-05,0.997158
1445,1,0.337696,6e-06,0.997164
1447,4,0.338163,2.4e-05,0.997188
1448,1,0.338397,6e-06,0.997194
1449,1,0.338631,6e-06,0.9972
1450,1,0.338864,6e-06,0.997206
1452,2,0.339332,1.2e-05,0.997218
1454,2,0.339799,1.2e-05,0.99723
1455,3,0.340033,1.8e-05,0.997248
1456,2,0.340266,1.2e-05,0.99726
1457,1,0.3405,6e-06,0.997266
1459,3,0.340968,1.8e-05,0.997284
1461,1,0.341435,6e-06,0.99729
1462,2,0.341669,1.2e-05,0.997302
1463,1,0.341902,6e-06,0.997308
1466,1,0.342603,6e-06,0.997314
1467,1,0.342837,6e-06,0.99732
1468,1,0.343071,6e-06,0.997326
1470,2,0.343538,1.2e-05,0.997338
1471,2,0.343772,1.2e-05,0.99735
1472,1,0.344006,6e-06,0.997356
1473,1,0.344239,6e-06,0.997362
1474,1,0.344473,6e-06,0.997368
1476,1,0.34494,6e-06,0.997374
1478,1,0.345408,6e-06,0.99738
1480,2,0.345875,1.2e-05,0.997392
1482,1,0.346343,6e-06,0.997398
1485,2,0.347044,1.2e-05,0.99741
1486,1,0.347277,6e-06,0.997416
1487,1,0.347511,6e-06,0.997422
1488,2,0.347745,1.2e-05,0.997434
1489,1,0.347978,6e-06,0.99744
1490,1,0.348212,6e-06,0.997446
1492,1,0.34868,6e-06,0.997452
1493,2,0.348913,1.2e-05,0.997464
1497,1,0.349848,6e-06,0.99747
1500,1,0.350549,6e-06,0.997476
1501,1,0.350783,6e-06,0.997482
1502,3,0.351017,1.8e-05,0.9975
1503,1,0.35125,6e-06,0.997506
1505,1,0.351718,6e-06,0.997512
1506,1,0.351951,6e-06,0.997518
1507,1,0.352185,6e-06,0.997524
1513,1,0.353587,6e-06,0.99753
